st_tefferr2,st_raderr2,st_teff,pl_trandep,pl_orbpererr1,st_raderr1,pl_radeerr2,pl_insol,pl_trandeperr2,pl_insolerr1,st_tefferr1,pl_insolerr2,pl_trandeperr1,pl_orbper,pl_eqt,pl_orbpererr2,dec,ra,st_rad,pl_rade,pl_radeerr1,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-197.0,-0.078,5988.0,5741.1,6.188e-06,0.234,-0.72,102.91,-53.2,86.75,179.0,-28.91,53.2,10.181584004,812.0,-6.188e-06,38.241669,291.28195,0.836,7.73,2.17,CANDIDATE,Kepler,9.24641148325359,107.91541353383458
-86.0,-0.04,3950.0,1494.7,5.839e-05,0.033,-0.16,4.0,-45.1,0.89,70.0,-0.9,45.1,20.06036336,361.0,-5.839e-05,39.27832,286.07913,0.493,1.96,0.13,CONFIRMED,Kepler,3.975659229208925,33.14190687361419
-86.0,-0.04,3950.0,1394.7,0.0002654,0.033,-0.15,1.32,-56.4,0.29,70.0,-0.3,56.4,46.1842039,273.0,-0.0002654,39.27832,286.07913,0.493,1.83,0.12,CONFIRMED,Kepler,3.7119675456389456,24.72872340425532
-117.0,-0.103,5854.0,104.0,0.0002003,0.154,-0.13,41.94,-6.5,17.84,105.0,-10.73,6.5,23.9800854,649.0,-0.0002003,44.337551,300.86398,1.012,1.31,0.2,CONFIRMED,Kepler,1.2944664031620554,16.0
-86.0,-0.04,3950.0,520.8,3.89e-05,0.033,-0.1,14.05,-36.4,3.1,70.0,-3.19,36.4,7.82502168,494.0,-3.89e-05,39.27832,286.07913,0.493,1.2,0.08,CONFIRMED,Kepler,2.434077079107505,14.307692307692307
-167.0,-0.069,5557.0,8544.8,7.71e-07,0.161,-0.65,241.62,-29.5,155.31,167.0,-64.19,29.5,3.895936525,1005.0,-7.71e-07,39.308361,294.65524,0.774,7.34,1.53,CONFIRMED,Kepler,9.483204134366925,289.65423728813556
-160.0,-0.052,5395.0,986.8,9.761e-05,0.122,-0.16,19.45,-35.1,10.29,160.0,-4.56,35.1,22.36646466,536.0,-9.761e-05,39.52174,294.71063,0.734,2.32,0.38,CONFIRMED,Kepler,3.1607629427792916,28.11396011396011
-74.0,-0.161,5539.0,7969.0,1.58e-07,0.161,-1.42,1467.41,-11.8,576.36,83.0,-452.24,11.8,1.625522174,1579.0,-1.58e-07,38.422939,293.87192,1.106,9.73,1.41,CONFIRMED,Kepler,8.797468354430379,675.3389830508474
-85.0,-0.061,5710.0,21725.0,3.73e-06,0.121,-0.92,40.39,-85.0,14.34,76.0,-7.31,85.0,19.620346923,643.0,-3.73e-06,38.563568,293.81619,0.905,13.6,1.82,CANDIDATE,Kepler,15.027624309392264,255.58823529411765
-169.0,-0.078,5657.0,322.6,0.0001023,0.194,-1.65,116.46,-28.2,81.18,152.0,-31.91,28.2,7.544039,838.0,-0.0001023,38.601101,293.94116,0.824,17.47,4.12,FALSE POSITIVE,Kepler,21.20145631067961,11.439716312056738
-167.0,-0.082,5349.0,1019.8,1.648e-05,0.141,-0.26,77.75,-21.9,43.01,167.0,-22.28,21.9,9.02930689,757.0,-1.648e-05,38.72823,290.33362,0.82,2.57,0.44,CONFIRMED,Kepler,3.1341463414634148,46.5662100456621
-169.0,-0.186,5627.0,16918.0,3.762e-06,0.28,-2.41,119.31,-31.8,98.49,169.0,-48.58,31.8,10.328035714,843.0,-3.762e-06,38.886452,287.69675,1.024,13.28,3.64,FALSE POSITIVE,Kepler,12.968749999999998,532.0125786163522
-120.0,-0.037,5485.0,10566.0,0.0002348,0.079,-0.38,2.14,-82.4,0.59,98.0,-0.35,82.4,143.2063047,308.0,-0.0002348,38.947281,285.28363,0.867,8.9,0.82,CONFIRMED,Kepler,10.265282583621685,128.22815533980582
