pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
162.58,258.34,-149.0,50.054119,1.22,3.728732147,-0.07,-18.5,0.164,5226.5,166.0,5497.0,1023.0,290.78574,-0.52,9.36e-07,18.5,0.809,-9.36e-07,6.02,-65.21,CONFIRMED,Kepler
5.67,11.29,-163.0,50.080231,1.12,40.4195037,-0.095,-230.0,0.116,6256.0,179.0,5446.0,467.0,294.31686,-0.91,0.0001139,230.0,0.781,-0.0001139,7.51,-3.57,CANDIDATE,Kepler
21.47,107.6,-91.0,50.149818,0.1,2.243380573,-0.033,-25.6,0.03,821.7,82.0,4149.0,822.0,285.17621,-0.12,2.67e-06,25.6,0.564,-2.67e-06,1.99,-20.32,CONFIRMED,Kepler
90.01,113.94,-173.0,50.241001,2.92,10.405998015,-0.16,-22.4,0.241,14489.0,173.0,5746.0,833.0,289.23553,-1.95,2.515e-06,22.4,0.924,-2.515e-06,11.23,-45.01,FALSE POSITIVE,Kepler
69.46,311.16,-79.0,50.23035,0.17,2.337437946,-0.028,-13.7,0.055,971.2,79.0,5005.0,1070.0,293.83331,-0.09,1.951e-06,13.7,0.765,-1.951e-06,2.34,-40.17,CONFIRMED,Kepler
15.32,68.63,-79.0,50.23035,1.4,7.2406612,-0.028,-44.1,0.055,556.4,79.0,5005.0,734.0,293.83331,-0.71,1.617e-05,44.1,0.765,-1.617e-05,19.45,-8.86,CANDIDATE,Kepler
251.11,617.61,-115.0,46.276241,0.08,3.43591631,-0.142,-3.4,0.157,23.2,104.0,5779.0,1272.0,287.88733,-0.07,4.729e-05,3.4,1.087,-4.729e-05,0.55,-186.88,CANDIDATE,Kepler
1.49,5.82,-91.0,50.28722,0.21,11.59822233,-0.051,-46.3,0.037,2804.5,73.0,3688.0,396.0,296.22195,-0.29,1.407e-05,46.3,0.473,-1.407e-05,2.65,-1.63,CONFIRMED,Kepler
209.1,251.38,-180.0,50.321609,1.5,6.575315881,-0.151,-14.9,0.28,2793.3,162.0,5992.0,1015.0,290.09805,-0.81,3.726e-06,14.9,0.989,-3.726e-06,5.31,-91.63,CONFIRMED,Kepler
75.31,113.64,-180.0,50.49456,1.05,7.275040844,-0.067,-11.5,0.187,3001.0,164.0,5485.0,833.0,295.45529,-0.37,4.677e-06,11.5,0.867,-4.677e-06,4.86,-28.97,CONFIRMED,Kepler
1.13,5.66,-81.0,50.53191,0.1,19.27153892,-0.034,-35.3,0.03,1219.8,81.0,4077.0,393.0,293.97336,-0.12,4.145e-05,35.3,0.56,-4.145e-05,1.93,-1.06,CONFIRMED,Kepler
2.69,13.43,-81.0,50.53191,0.1,10.06524317,-0.034,-39.2,0.03,1053.3,81.0,4077.0,488.0,293.97336,-0.12,1.49e-05,39.2,0.56,-1.49e-05,1.91,-2.5,CONFIRMED,Kepler
31.16,49.68,-166.0,50.56778,0.54,12.3935651,-0.065,-29.1,0.152,916.6,166.0,5557.0,677.0,296.02133,-0.23,3.932e-05,29.1,0.75,-3.932e-05,2.66,-12.97,CONFIRMED,Kepler
7.98,18.77,-117.0,44.337551,0.43,43.84439721,-0.103,-7.7,0.154,615.2,105.0,5854.0,531.0,300.86398,-0.3,9.613e-05,7.7,1.012,-9.613e-05,2.87,-4.8,CONFIRMED,Kepler
145.91,268.67,-159.0,38.27029,3.54,3.341913228,-0.071,-21.3,0.133,725.3,175.0,5295.0,1032.0,292.31595,-1.89,9.953e-06,21.3,0.811,-9.953e-06,21.55,-70.67,FALSE POSITIVE,Kepler
1105.99,1355.88,-172.0,38.31028,9.0,1.626630225,-0.145,-19.0,0.27,1620.6,155.0,5735.0,1547.0,294.36819,-4.83,1.015e-06,19.0,0.973,-1.015e-06,32.43,-486.6,FALSE POSITIVE,Kepler
931.74,960.79,-239.0,38.494659,1.02,2.711504086,-0.118,-14.5,0.353,837.5,174.0,6214.0,1420.0,291.65353,-0.34,3.8e-06,14.5,1.076,-3.8e-06,3.12,-309.76,CONFIRMED,Kepler
